sales_agent,product,account,deal_stage,close_date,close_value
Anna Snelling,MG Special,Ron-tech,Won,3/1/2017,49
Anna Snelling,MG Special,Treequote,Won,3/1/2017,58
Anna Snelling,GTX Basic,Conecom,Won,3/1/2017,625
Anna Snelling,GTX Plus Pro,Codehow,Won,3/1/2017,5087
Anna Snelling,MG Special,Rundofase,Won,3/1/2017,65
Anna Snelling,GTX Plus Pro,Gogozoom,Won,3/1/2017,4760
Anna Snelling,MG Advanced,Isdom,Won,3/2/2017,3246
Anna Snelling,MG Special,Hottechi,Won,3/2/2017,60
Anna Snelling,GTX Basic,Scottech,Won,3/2/2017,423
Anna Snelling,GTX Plus Basic,Treequote,Won,3/4/2017,999
Anna Snelling,GTX Basic,Isdom,Won,3/8/2017,622
Anna Snelling,MG Special,Bioholding,Won,3/10/2017,53
Anna Snelling,GTX Basic,Conecom,Won,3/12/2017,522
Anna Snelling,GTX Plus Pro,Stanredtax,Won,3/15/2017,5765
Anna Snelling,MG Special,Betatech,Won,3/15/2017,56
Anna Snelling,MG Special,Konmatfix,Won,3/16/2017,58
Anna Snelling,MG Special,Scottech,Won,3/17/2017,57
Anna Snelling,GTX Plus Pro,dambase,Won,3/18/2017,5210
Anna Snelling,MG Special,Gogozoom,Won,3/19/2017,58
Anna Snelling,MG Advanced,Stanredtax,Won,3/23/2017,4148
Anna Snelling,MG Advanced,Statholdings,Won,3/25/2017,3647
Anna Snelling,MG Special,Inity,Won,3/26/2017,59
Anna Snelling,GTX Plus Pro,Genco Pura Olive Oil Company,Won,3/26/2017,6064
Anna Snelling,GTX Plus Pro,Rundofase,Won,3/27/2017,5459
Anna Snelling,MG Special,Treequote,Won,3/27/2017,58
Anna Snelling,GTX Plus Pro,dambase,Won,4/1/2017,5060
Anna Snelling,MG Advanced,Codehow,Won,4/4/2017,3445
Anna Snelling,MG Special,Dontechi,Won,4/4/2017,54
Anna Snelling,MG Advanced,dambase,Won,4/8/2017,3626
Anna Snelling,GTX Basic,Warephase,Won,4/8/2017,596
Anna Snelling,GTX Basic,Domzoom,Won,4/11/2017,582
Anna Snelling,MG Special,Domzoom,Won,4/12/2017,59
Anna Snelling,MG Special,Betatech,Won,4/14/2017,57
Anna Snelling,GTX Plus Basic,Stanredtax,Won,4/15/2017,1142
Anna Snelling,MG Special,Inity,Won,4/15/2017,58
Anna Snelling,GTX Plus Pro,Statholdings,Won,4/16/2017,5082
Anna Snelling,MG Advanced,Codehow,Won,4/24/2017,3668
Anna Snelling,MG Special,Betatech,Won,4/25/2017,51
Anna Snelling,MG Special,Scottech,Won,4/25/2017,49
Anna Snelling,MG Special,Ron-tech,Won,4/25/2017,62
Anna Snelling,MG Special,Warephase,Won,4/26/2017,52
Anna Snelling,MG Special,Conecom,Won,4/27/2017,56
Anna Snelling,GTX Plus Basic,Hottechi,Won,5/2/2017,1089
