sales_agent,product,account,close_date,close_value,regional_office
Anna Snelling,MG Special,Ron-tech,3/1/2017,49,Central
Anna Snelling,MG Special,Treequote,3/1/2017,58,Central
Anna Snelling,GTX Basic,Conecom,3/1/2017,625,Central
Anna Snelling,GTX Plus Pro,Codehow,3/1/2017,5087,Central
Anna Snelling,MG Special,Rundofase,3/1/2017,65,Central
Anna Snelling,GTX Plus Pro,Gogozoom,3/1/2017,4760,Central
Anna Snelling,MG Advanced,Isdom,3/2/2017,3246,Central
Anna Snelling,MG Special,Hottechi,3/2/2017,60,Central
Anna Snelling,GTX Basic,Scottech,3/2/2017,423,Central
Anna Snelling,GTX Plus Basic,Treequote,3/4/2017,999,Central
Anna Snelling,GTX Basic,Isdom,3/8/2017,622,Central
Anna Snelling,MG Special,Bioholding,3/10/2017,53,Central
Anna Snelling,GTX Basic,Conecom,3/12/2017,522,Central
Anna Snelling,GTX Plus Pro,Stanredtax,3/15/2017,5765,Central
Anna Snelling,MG Special,Betatech,3/15/2017,56,Central
Anna Snelling,MG Special,Konmatfix,3/16/2017,58,Central
Anna Snelling,MG Special,Scottech,3/17/2017,57,Central
Anna Snelling,GTX Plus Pro,dambase,3/18/2017,5210,Central
Anna Snelling,MG Special,Gogozoom,3/19/2017,58,Central
Anna Snelling,MG Advanced,Stanredtax,3/23/2017,4148,Central
Anna Snelling,MG Advanced,Statholdings,3/25/2017,3647,Central
Anna Snelling,MG Special,Inity,3/26/2017,59,Central
Anna Snelling,GTX Plus Pro,Genco Pura Olive Oil Company,3/26/2017,6064,Central
Anna Snelling,GTX Plus Pro,Rundofase,3/27/2017,5459,Central
Anna Snelling,MG Special,Treequote,3/27/2017,58,Central
Anna Snelling,GTX Plus Pro,dambase,4/1/2017,5060,Central
Anna Snelling,MG Advanced,Codehow,4/4/2017,3445,Central
Anna Snelling,MG Special,Dontechi,4/4/2017,54,Central
Anna Snelling,MG Advanced,dambase,4/8/2017,3626,Central
Anna Snelling,GTX Basic,Warephase,4/8/2017,596,Central
Anna Snelling,GTX Basic,Domzoom,4/11/2017,582,Central
Anna Snelling,MG Special,Domzoom,4/12/2017,59,Central
Anna Snelling,MG Special,Betatech,4/14/2017,57,Central
Anna Snelling,GTX Plus Basic,Stanredtax,4/15/2017,1142,Central
Anna Snelling,MG Special,Inity,4/15/2017,58,Central
Anna Snelling,GTX Plus Pro,Statholdings,4/16/2017,5082,Central
Anna Snelling,MG Advanced,Codehow,4/24/2017,3668,Central
Anna Snelling,MG Special,Betatech,4/25/2017,51,Central
Anna Snelling,MG Special,Scottech,4/25/2017,49,Central
